idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,20.62,0,0,20,2,220.62
2,2,0,0,16.08,0,0,20,3,316.08
3,2,0,1,21.73,0,0,20,1,121.73
4,1,0,4,18.05,0,1,20,2,218.05
5,1,0,3,17.45,0,1,20,2,217.45
6,2,0,4,12.36,0,1,20,2,212.36
7,1,0,1,13.41,0,0,20,1,113.41
8,2,0,2,11.83,0,0,20,0,11.83
9,2,0,3,8.05,0,0,20,2,208.05
10,1,0,2,16.82,0,0,20,2,216.82
11,3,0,0,15.97,1,0,20,2,215.97
12,4,0,0,20.58,2,0,20,0,20.58
13,4,0,1,9.94,3,0,20,2,209.94
14,5,0,0,10.28,4,0,20,1,110.28
15,3,0,1,23.01,5,0,20,2,223.01
16,5,0,1,9.74,6,0,20,2,209.74
17,6,0,0,12.96,7,0,20,0,12.96
18,6,0,1,10.71,8,0,20,1,110.71000000000001
19,6,0,2,12.96,9,0,20,0,12.96
20,3,0,2,9.98,10,0,20,3,309.98
21,6,0,3,5.14,11,0,20,0,5.14
22,5,0,2,7.38,12,0,20,0,7.38
23,3,0,3,18.96,13,0,20,3,318.96
