idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,0,10.77,1,110.77,0,0,20
2,5,0,1,10.37,1,110.37,0,0,20
3,4,0,0,17.59,0,17.59,0,0,20
4,5,0,2,9.73,2,209.73,0,1,20
5,4,0,1,23.19,0,23.19,0,1,20
6,1,0,0,14.2,0,14.2,1,0,20
7,4,0,2,12.96,1,112.96000000000001,2,0,20
8,2,0,0,13.0,0,13.0,3,0,20
9,3,0,0,11.75,0,11.75,4,0,20
10,5,0,3,13.03,3,313.03,5,0,20
11,5,0,4,13.52,3,313.52,6,0,20
12,1,0,1,17.3,0,17.3,7,0,20
13,4,0,3,13.72,1,113.72,8,0,20
14,4,0,4,12.4,2,212.4,9,0,20
15,1,0,2,7.23,3,307.23,10,0,20
16,2,0,1,21.01,0,21.01,11,0,20
17,1,0,3,16.0,3,316.0,12,0,20
18,2,0,2,15.42,1,115.42,13,0,20
19,2,0,3,5.25,3,305.25,14,0,20
20,6,0,0,9.21,0,9.21,15,0,20
21,6,0,1,5.87,0,5.87,16,0,20
22,2,0,4,6.37,3,306.37,17,0,20
23,3,0,1,7.9,1,107.9,18,0,20
24,1,0,4,21.58,3,321.58,19,0,20
25,3,0,2,22.14,2,222.14,20,0,20
26,6,0,2,6.89,0,6.89,21,0,20
27,6,0,3,22.26,0,22.26,22,0,20
