idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,5,0,0,10.82,0,0,0,20
2,5,0,1,15.96,0,0,0,20
3,3,0,0,5.3,0,0,0,20
4,3,0,1,10.52,1,0,0,20
5,4,0,0,14.69,2,0,0,20
6,4,0,1,15.58,3,0,0,20
7,5,0,2,16.72,4,0,0,20
8,4,0,2,20.36,5,0,0,20
9,5,0,3,17.27,6,0,0,20
10,4,0,3,20.58,7,0,0,20
11,6,0,0,19.64,8,0,0,20
12,6,0,1,20.61,9,0,0,20
13,1,0,0,6.31,10,0,0,20
14,1,0,1,7.0,11,0,0,20
15,3,0,2,14.01,12,0,0,20
16,2,0,0,8.92,13,0,0,20
17,3,0,3,16.04,14,0,0,20
18,1,0,2,10.09,15,0,0,20
19,4,0,4,22.37,16,0,0,20
20,2,0,1,8.69,17,0,0,20
