idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,4,0,0,13.09,1,0,0,20
2,1,0,0,7.56,2,0,0,20
3,4,0,1,19.37,3,0,0,20
4,1,0,1,21.24,4,0,0,20
5,2,0,0,5.98,5,0,0,20
6,2,0,1,10.4,6,0,0,20
7,3,0,0,10.02,7,0,0,20
8,6,0,0,22.18,8,0,0,20
9,1,0,2,7.08,9,0,0,20
10,4,0,2,21.3,10,0,0,20
11,5,0,0,6.71,11,0,0,20
12,2,0,2,16.32,12,0,0,20
13,1,0,3,7.96,13,0,0,20
14,1,0,4,9.15,14,0,0,20
15,5,0,1,20.77,15,0,0,20
16,2,0,3,18.99,16,0,0,20
17,2,0,4,18.69,17,0,0,20
18,3,0,1,16.82,18,0,0,20
19,3,0,2,18.27,19,0,0,20
20,3,0,3,9.06,20,0,0,20
