idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,14.28,0,0,20,0,14.28
2,5,0,0,9.94,0,0,20,3,309.94
3,1,0,1,22.74,0,0,20,2,222.74
4,4,0,1,15.73,0,1,20,2,215.73
5,5,0,1,23.34,0,0,20,3,323.34
6,5,0,2,8.98,0,0,20,3,308.98
7,4,0,0,19.11,0,0,20,1,119.11
8,1,0,2,20.4,0,0,20,1,120.4
9,4,0,2,21.18,0,1,20,2,221.18
10,5,0,3,19.46,0,1,20,3,319.46
11,4,0,3,6.0,1,0,20,3,306.0
12,2,0,0,11.94,2,0,20,0,11.94
13,2,0,1,20.15,3,0,20,1,120.15
14,1,0,3,8.08,4,0,20,2,208.08
15,3,0,0,14.21,5,0,20,0,14.21
16,2,0,2,17.45,6,0,20,2,217.45
17,3,0,1,20.75,7,0,20,0,20.75
18,3,0,2,16.28,8,0,20,1,116.28
19,6,0,0,14.46,9,0,20,0,14.46
20,6,0,1,13.77,10,0,20,1,113.77
