idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,1,11.93,0,0,1,20
2,6,0,0,14.06,0,0,0,20
3,4,0,2,14.17,0,0,1,20
4,2,0,0,9.5,0,0,0,20
5,6,0,1,14.02,0,0,0,20
6,3,0,0,5.14,0,0,0,20
7,4,0,0,10.69,0,0,0,20
8,4,0,3,19.56,0,0,1,20
9,4,0,4,21.69,0,0,1,20
10,4,0,1,12.76,0,0,1,20
11,5,0,0,11.66,1,0,0,20
12,3,0,1,9.13,2,0,0,20
13,6,0,2,21.59,3,0,0,20
14,2,0,2,20.15,4,0,0,20
15,5,0,1,14.13,5,0,0,20
16,5,0,2,17.07,6,0,0,20
17,5,0,3,15.99,7,0,0,20
18,5,0,4,17.75,8,0,0,20
19,3,0,2,13.16,9,0,0,20
20,2,0,3,20.63,10,0,0,20
21,1,0,0,5.22,11,0,0,20
22,2,0,4,20.84,12,0,0,20
23,1,0,1,5.47,13,0,0,20
24,3,0,3,19.74,14,0,0,20
25,1,0,2,5.77,15,0,0,20
