idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,18.4,3,318.4,1,0,20
2,2,0,0,14.87,2,214.87,2,0,20
3,3,0,0,16.24,0,16.24,3,0,20
4,2,0,1,18.59,2,218.59,4,0,20
5,3,0,1,6.69,2,206.69,5,0,20
6,3,0,2,8.21,2,208.21,6,0,20
7,3,0,3,14.31,2,214.31,7,0,20
8,4,0,0,19.31,0,19.31,8,0,20
9,4,0,1,6.02,1,106.02,9,0,20
10,5,0,0,20.51,0,20.51,10,0,20
11,4,0,2,11.52,2,211.52,11,0,20
12,2,0,2,13.35,3,313.35,12,0,20
13,4,0,3,11.64,2,211.64,13,0,20
14,5,0,1,14.28,1,114.28,14,0,20
15,3,0,4,12.94,3,312.94,15,0,20
16,4,0,4,11.99,2,211.99,16,0,20
17,5,0,2,8.31,3,308.31,17,0,20
18,6,0,0,11.95,2,211.95,18,0,20
19,6,0,1,10.68,0,10.68,19,0,20
20,5,0,3,10.2,3,310.2,20,0,20
21,6,0,2,19.91,0,19.91,21,0,20
22,6,0,3,18.63,2,218.63,22,0,20
23,6,0,4,13.51,1,113.51,23,0,20
24,5,0,4,7.8,3,307.8,24,0,20
25,2,0,3,21.88,0,21.88,25,0,20
