idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,3,22.07,1,122.07,0,1,20
2,5,0,0,15.69,2,215.69,0,0,20
3,6,0,0,11.98,1,111.98,0,0,20
4,6,0,1,23.79,0,23.79,0,0,20
5,6,0,4,14.13,2,214.13,0,1,20
6,6,0,2,11.27,1,111.27,0,1,20
7,5,0,1,17.1,3,317.1,0,1,20
8,1,0,0,10.92,1,110.92,1,0,20
9,1,0,1,6.58,3,306.58,2,0,20
10,2,0,0,19.87,2,219.87,3,0,20
11,5,0,2,22.04,3,322.04,4,0,20
12,3,0,0,23.75,1,123.75,5,0,20
13,3,0,1,9.4,2,209.4,6,0,20
14,3,0,2,13.89,2,213.89,7,0,20
15,4,0,0,15.17,0,15.17,8,0,20
16,4,0,1,8.55,2,208.55,9,0,20
17,2,0,1,6.07,3,306.07,10,0,20
18,4,0,2,9.77,0,9.77,11,0,20
19,1,0,2,19.0,3,319.0,12,0,20
20,2,0,2,13.76,3,313.76,13,0,20
21,4,0,3,10.39,0,10.39,14,0,20
22,4,0,4,19.35,1,119.35,15,0,20
23,3,0,3,16.1,2,216.1,16,0,20
24,2,0,3,18.39,3,318.39,17,0,20
25,3,0,4,8.54,0,8.54,18,0,20
26,2,0,4,12.53,2,212.53,19,0,20
27,1,0,3,5.26,2,205.26,20,0,20
