idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,3,0,0,7.68,0,0,20,0,7.68
2,3,0,3,15.07,0,1,20,3,315.07
3,2,0,0,21.29,0,1,20,0,21.29
4,3,0,2,16.64,0,1,20,1,116.64
5,3,0,1,23.08,0,1,20,0,23.08
6,2,0,1,22.92,1,0,20,2,222.92000000000002
7,2,0,2,12.84,2,0,20,3,312.84
8,1,0,0,22.15,3,0,20,1,122.15
9,4,0,0,21.16,4,0,20,0,21.16
10,4,0,1,18.1,5,0,20,1,118.1
11,1,0,1,23.75,6,0,20,2,223.75
12,4,0,2,17.7,7,0,20,2,217.7
13,4,0,3,21.28,8,0,20,2,221.28
14,4,0,4,21.3,9,0,20,2,221.3
15,1,0,2,10.71,10,0,20,3,310.71
16,5,0,0,21.55,11,0,20,2,221.55
17,3,0,4,19.46,12,0,20,3,319.46
18,5,0,1,6.53,13,0,20,3,306.53
19,6,0,0,8.21,14,0,20,1,108.21000000000001
20,6,0,1,7.36,15,0,20,0,7.36
