idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,4,20.0,3,320.0,0,1,20
2,1,0,3,16.21,2,216.21,0,1,20
3,1,0,1,22.4,1,122.4,0,1,20
4,1,0,0,11.32,0,11.32,0,1,20
5,1,0,2,7.12,2,207.12,0,1,20
6,2,0,0,11.38,0,11.38,1,0,20
7,2,0,1,10.39,1,110.39,2,0,20
8,2,0,2,21.34,3,321.34,3,0,20
9,3,0,0,14.15,1,114.15,4,0,20
10,3,0,1,21.14,3,321.14,5,0,20
11,4,0,0,15.68,1,115.68,6,0,20
12,5,0,0,12.67,0,12.67,7,0,20
13,4,0,1,17.08,2,217.07999999999998,8,0,20
14,5,0,1,13.55,2,213.55,9,0,20
15,6,0,0,9.98,2,209.98,10,0,20
16,4,0,2,11.71,3,311.71,11,0,20
17,4,0,3,13.69,3,313.69,12,0,20
18,6,0,1,14.54,1,114.53999999999999,13,0,20
19,6,0,2,18.25,0,18.25,14,0,20
20,6,0,3,14.66,1,114.66,15,0,20
