idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,3,0,0,21.37,0,0,20,0,21.37
2,4,0,0,21.35,0,0,20,3,321.35
3,4,0,1,22.29,0,0,20,2,222.29
4,4,0,2,14.31,0,1,20,3,314.31
5,3,0,1,5.51,0,1,20,1,105.51
6,3,0,2,10.18,1,0,20,3,310.18
7,1,0,0,17.41,2,0,20,0,17.41
8,1,0,1,12.09,3,0,20,2,212.09
9,2,0,0,10.63,4,0,20,2,210.63
10,1,0,2,12.17,5,0,20,2,212.17
11,5,0,0,6.43,6,0,20,1,106.43
12,4,0,3,17.37,7,0,20,3,317.37
13,3,0,3,16.73,8,0,20,3,316.73
14,2,0,1,10.74,9,0,20,2,210.74
15,5,0,1,20.73,10,0,20,1,120.73
16,1,0,3,10.01,11,0,20,3,310.01
17,6,0,0,19.48,12,0,20,1,119.48
18,6,0,1,20.1,13,0,20,0,20.1
19,6,0,2,5.57,14,0,20,0,5.57
20,6,0,3,10.4,15,0,20,0,10.4
21,2,0,2,14.39,16,0,20,3,314.39
22,5,0,2,16.06,17,0,20,0,16.06
23,5,0,3,22.51,18,0,20,0,22.51
