idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,20.26,0,0,20,0,20.26
2,1,0,1,22.31,0,1,20,0,22.31
3,1,0,2,9.37,0,1,20,3,309.37
4,2,0,0,17.34,1,0,20,1,117.34
5,3,0,0,16.59,2,0,20,1,116.59
6,2,0,1,19.95,3,0,20,3,319.95
7,3,0,1,22.48,4,0,20,1,122.48
8,2,0,2,23.32,5,0,20,3,323.32
9,1,0,3,17.17,6,0,20,3,317.17
10,3,0,2,13.89,7,0,20,3,313.89
11,4,0,0,14.02,8,0,20,2,214.02
12,1,0,4,20.52,9,0,20,3,320.52
13,4,0,1,17.89,10,0,20,2,217.89
14,5,0,0,6.48,11,0,20,2,206.48
15,6,0,0,12.95,12,0,20,0,12.95
16,6,0,1,18.84,13,0,20,0,18.84
17,2,0,3,23.33,14,0,20,3,323.33
18,6,0,2,12.85,15,0,20,1,112.85
19,4,0,2,20.12,16,0,20,2,220.12
20,3,0,3,15.48,17,0,20,3,315.48
