idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,1,19.25,0,1,20,1,119.25
2,1,0,0,14.47,0,1,20,0,14.47
3,1,0,2,20.33,0,1,20,2,220.32999999999998
4,2,0,0,16.2,1,0,20,0,16.2
5,2,0,1,18.24,2,0,20,0,18.24
6,2,0,2,6.69,3,0,20,2,206.69
7,3,0,0,13.28,4,0,20,0,13.28
8,3,0,1,22.35,5,0,20,1,122.35
9,1,0,3,23.96,6,0,20,2,223.96
10,1,0,4,19.28,7,0,20,3,319.28
11,4,0,0,7.71,8,0,20,1,107.71
12,2,0,3,13.16,9,0,20,3,313.16
13,3,0,2,22.49,10,0,20,1,122.49
14,3,0,3,18.5,11,0,20,2,218.5
15,5,0,0,9.2,12,0,20,0,9.2
16,5,0,1,6.33,13,0,20,1,106.33
17,4,0,1,6.78,14,0,20,2,206.78
18,4,0,2,13.1,15,0,20,2,213.1
19,5,0,2,7.0,16,0,20,2,207.0
20,3,0,4,21.37,17,0,20,2,221.37
