idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,2,0,2,21.84,0,1,20,3,321.84
2,2,0,0,19.93,0,0,20,0,19.93
3,2,0,1,17.75,0,1,20,3,317.75
4,1,0,0,23.7,1,0,20,0,23.7
5,3,0,0,19.02,2,0,20,0,19.02
6,1,0,1,23.1,3,0,20,2,223.1
7,3,0,1,15.09,4,0,20,2,215.09
8,3,0,2,21.03,5,0,20,2,221.03
9,4,0,0,14.11,6,0,20,1,114.11
10,4,0,1,12.98,7,0,20,2,212.98
11,5,0,0,8.2,8,0,20,0,8.2
12,2,0,3,22.72,9,0,20,3,322.72
13,1,0,2,18.49,10,0,20,3,318.49
14,6,0,0,5.9,11,0,20,0,5.9
15,4,0,2,17.36,12,0,20,2,217.36
16,5,0,1,12.36,13,0,20,2,212.36
17,6,0,1,6.15,14,0,20,1,106.15
18,6,0,2,18.62,15,0,20,0,18.62
19,6,0,3,5.44,16,0,20,2,205.44
20,3,0,3,9.67,17,0,20,3,309.67
