idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,2,9.93,3,309.93,0,1,20
2,1,0,0,23.83,0,23.83,0,1,20
3,1,0,1,20.45,2,220.45,0,1,20
4,2,0,0,5.62,1,105.62,1,0,20
5,2,0,1,10.63,2,210.63,2,0,20
6,3,0,0,22.27,0,22.27,3,0,20
7,1,0,3,16.87,3,316.87,4,0,20
8,4,0,0,18.17,0,18.17,5,0,20
9,4,0,1,21.66,0,21.66,6,0,20
10,5,0,0,16.24,0,16.24,7,0,20
11,6,0,0,9.43,0,9.43,8,0,20
12,2,0,2,14.05,3,314.05,9,0,20
13,3,0,1,18.08,1,118.08,10,0,20
14,1,0,4,23.18,3,323.18,11,0,20
15,4,0,2,15.17,1,115.17,12,0,20
16,3,0,2,14.31,2,214.31,13,0,20
17,3,0,3,21.62,2,221.62,14,0,20
18,4,0,3,20.96,1,120.96000000000001,15,0,20
19,4,0,4,8.4,2,208.4,16,0,20
20,5,0,1,16.66,1,116.66,17,0,20
