idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,3,0,1,15.82,3,315.82,0,1,20
2,5,0,3,15.15,2,215.15,0,1,20
3,5,0,4,23.32,2,223.32,0,1,20
4,3,0,0,8.04,1,108.03999999999999,0,1,20
5,5,0,2,23.57,1,123.57,0,1,20
6,5,0,0,15.37,0,15.37,0,0,20
7,5,0,1,18.98,1,118.98,0,1,20
8,1,0,0,13.48,0,13.48,1,0,20
9,2,0,0,10.25,0,10.25,2,0,20
10,1,0,1,13.67,2,213.67,3,0,20
11,2,0,1,6.62,1,106.62,4,0,20
12,2,0,2,12.98,1,112.98,5,0,20
13,3,0,2,16.96,3,316.96,6,0,20
14,2,0,3,6.28,2,206.28,7,0,20
15,3,0,3,17.33,3,317.33,8,0,20
16,4,0,0,10.32,1,110.32,9,0,20
17,6,0,0,6.82,0,6.82,10,0,20
18,3,0,4,20.14,3,320.14,11,0,20
19,4,0,1,15.87,1,115.87,12,0,20
20,6,0,1,10.17,0,10.17,13,0,20
21,6,0,2,13.73,0,13.73,14,0,20
22,1,0,2,13.28,3,313.28,15,0,20
23,6,0,3,10.62,1,110.62,16,0,20
