idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,5,0,0,21.72,0,0,20,3,321.72
2,4,0,3,11.43,0,1,20,3,311.43
3,4,0,2,17.22,0,1,20,2,217.22
4,4,0,1,5.25,0,1,20,1,105.25
5,4,0,4,13.41,0,1,20,3,313.41
6,4,0,0,7.83,0,1,20,0,7.83
7,5,0,1,21.02,0,0,20,3,321.02
8,1,0,0,8.18,1,0,20,1,108.18
9,2,0,0,6.99,2,0,20,0,6.99
10,1,0,1,13.68,3,0,20,3,313.68
11,1,0,2,15.58,4,0,20,3,315.58
12,2,0,1,17.64,5,0,20,3,317.64
13,3,0,0,18.66,6,0,20,1,118.66
14,1,0,3,16.0,7,0,20,3,316.0
15,3,0,1,14.63,8,0,20,3,314.63
16,6,0,0,7.11,9,0,20,1,107.11
17,6,0,1,15.58,10,0,20,2,215.58
18,6,0,2,8.55,11,0,20,2,208.55
19,2,0,2,21.0,12,0,20,3,321.0
20,6,0,3,7.67,13,0,20,1,107.67
21,3,0,2,16.08,14,0,20,1,116.08
22,3,0,3,11.96,15,0,20,1,111.96000000000001
23,3,0,4,15.28,16,0,20,3,315.28
