idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,13.46,0,13.46,1,0,20
2,1,0,1,21.52,2,221.52,2,0,20
3,2,0,0,19.28,0,19.28,3,0,20
4,1,0,2,17.96,3,317.96,4,0,20
5,2,0,1,7.41,1,107.41,5,0,20
6,2,0,2,18.07,2,218.07,6,0,20
7,2,0,3,7.82,3,307.82,7,0,20
8,2,0,4,11.88,3,311.88,8,0,20
9,3,0,0,6.17,0,6.17,9,0,20
10,3,0,1,8.66,2,208.66,10,0,20
11,4,0,0,14.97,0,14.97,11,0,20
12,3,0,2,10.84,3,310.84,12,0,20
13,4,0,1,12.31,1,112.31,13,0,20
14,4,0,2,10.48,3,310.48,14,0,20
15,5,0,0,8.86,3,308.86,15,0,20
16,3,0,3,15.22,3,315.22,16,0,20
17,6,0,0,18.46,2,218.46,17,0,20
18,6,0,1,13.13,2,213.13,18,0,20
19,6,0,2,9.28,0,9.28,19,0,20
20,5,0,1,10.83,0,10.83,20,0,20
