idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,1,0,0,13.34,1,0,20,3,313.34
2,2,0,0,19.66,2,0,20,0,19.66
3,2,0,1,17.16,3,0,20,2,217.16
4,2,0,2,12.57,4,0,20,3,312.57
5,3,0,0,17.07,5,0,20,2,217.07
6,1,0,1,23.35,6,0,20,3,323.35
7,3,0,1,8.97,7,0,20,3,308.97
8,4,0,0,18.44,8,0,20,1,118.44
9,4,0,1,6.3,9,0,20,2,206.3
10,4,0,2,8.74,10,0,20,3,308.74
11,5,0,0,17.54,11,0,20,2,217.54
12,2,0,3,15.27,12,0,20,3,315.27
13,6,0,0,8.71,13,0,20,2,208.71
14,6,0,1,6.98,14,0,20,2,206.98
15,6,0,2,20.53,15,0,20,1,120.53
16,5,0,1,5.96,16,0,20,2,205.96
17,5,0,2,20.61,17,0,20,2,220.61
18,6,0,3,7.71,18,0,20,0,7.71
19,6,0,4,11.16,19,0,20,0,11.16
20,4,0,3,8.9,20,0,20,3,308.9
