idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,10.69,1,0,0,20
2,2,0,0,8.76,2,0,0,20
3,1,0,1,17.55,3,0,0,20
4,2,0,1,14.02,4,0,0,20
5,3,0,0,9.42,5,0,0,20
6,3,0,1,12.29,6,0,0,20
7,1,0,2,21.14,7,0,0,20
8,4,0,0,6.32,8,0,0,20
9,2,0,2,19.79,9,0,0,20
10,5,0,0,5.95,10,0,0,20
11,3,0,2,14.11,11,0,0,20
12,3,0,3,15.84,12,0,0,20
13,3,0,4,16.71,13,0,0,20
14,1,0,3,22.82,14,0,0,20
15,4,0,1,15.37,15,0,0,20
16,4,0,2,15.92,16,0,0,20
17,5,0,1,6.36,17,0,0,20
18,5,0,2,13.14,18,0,0,20
19,2,0,3,21.94,19,0,0,20
20,6,0,0,9.54,20,0,0,20
21,6,0,1,9.11,21,0,0,20
22,4,0,3,20.17,22,0,0,20
23,6,0,2,5.79,23,0,0,20
24,1,0,4,23.77,24,0,0,20
25,2,0,4,23.3,25,0,0,20
26,5,0,3,17.41,26,0,0,20
27,6,0,3,15.14,27,0,0,20
