idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,0,16.05,0,0,0,20
2,6,0,0,23.11,0,0,0,20
3,5,0,0,11.16,0,0,0,20
4,6,0,1,19.45,0,0,0,20
5,2,0,3,23.16,0,0,1,20
6,2,0,1,22.33,0,0,1,20
7,2,0,2,22.84,0,0,1,20
8,5,0,1,11.73,1,0,0,20
9,1,0,0,7.97,2,0,0,20
10,5,0,2,14.0,3,0,0,20
11,6,0,2,21.9,4,0,0,20
12,1,0,1,8.48,5,0,0,20
13,1,0,2,12.06,6,0,0,20
14,1,0,3,12.51,7,0,0,20
15,5,0,3,20.82,8,0,0,20
16,3,0,0,12.02,9,0,0,20
17,4,0,0,11.39,10,0,0,20
18,1,0,4,15.02,11,0,0,20
19,4,0,1,11.54,12,0,0,20
20,4,0,2,8.08,13,0,0,20
